filename,project_id,counterparty,exec_date,doc_type,parent_dir,year_bucket,src_path,size_bytes,normalized_filename
6330 North Hurlburt Wind PPA_Redacted.pdf,6330,6330 North Hurlburt Wind PPA Redacted,,OTHER,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__6330 North Hurlburt Wind PPA_Redacted.pdf,5446763,6330_6330_North_Hurlburt_Wind_PPA_Redacted_OTHER.pdf
6118 - Windpower Partners 1993 - PPA.pdf,6118,Windpower Partners 1993,,PPA,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6118 - Windpower Partners 1993 - PPA.pdf,195903,6118_Windpower_Partners_1993_PPA.pdf
"2015-12-18, Sunray Energy 3 - SEGS I, PPA.pdf",2015,12 18  Sunray Energy 3   SEGS I,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2015-12-18, Sunray Energy 3 - SEGS I, PPA.pdf",6551780,2015_12_18_Sunray_Energy_3_SEGS_I_PPA.pdf
Park Meridian 1.pdf,,Park Meridian 1,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Park Meridian 1.pdf,2932610,NA_Park_Meridian_1_OTHER.pdf
"2017-11-30, Terra-Gen 251 Wind (Monolith XII), Amendment 5.pdf",2017,11 30  Terra Gen 251 Wind (Monolith XII)   5,,AMENDMENT,,1985-1989,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__2017-11-30, Terra-Gen 251 Wind (Monolith XII), Amendment 5.pdf",238184,2017_11_30_Terra_Gen_251_Wind_Monolith_XII_5_AMENDMENT.pdf
SCE Ivanpah Unit 2.pdf,,SCE Ivanpah Unit 2,,OTHER,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__SCE Ivanpah Unit 2.pdf,3399767,NA_SCE_Ivanpah_Unit_2_OTHER.pdf
6315 Alta Wind II.pdf,6315,6315 Alta Wind II,,OTHER,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__6315 Alta Wind II.pdf,1645563,6315_6315_Alta_Wind_II_OTHER.pdf
6055 Coram Energy Amendment No2 9-26-85.pdf,6055,6055 Coram Energy  No2 9 26 85,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6055 Coram Energy Amendment No2 9-26-85.pdf,136022,6055_6055_Coram_Energy_No2_9_26_85_AMENDMENT.pdf
SEPV Palmdale East.pdf,,SEPV Palmdale East,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__SEPV Palmdale East.pdf,2540875,NA_SEPV_Palmdale_East_OTHER.pdf
#6319 CONFIDENTIAL Amendment 1 2011-5-4.pdf,6319,#6319 CONFIDENTIAL  1 2011 5 4,,AMENDMENT,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__#6319 CONFIDENTIAL Amendment 1 2011-5-4.pdf,1134512,6319_6319_CONFIDENTIAL_1_2011_5_4_AMENDMENT.pdf
